round;player;action_player;opponent;action_opponent;payoff;time_php;time_js;treatment;session;context;prev;prev_player;prev_opp
83;s11n9usuario10;D;s11n9usuario5;D;1;137.879.991.531;1352;rand;s11n9;DDD;DD;D;D
84;s11n9usuario10;D;s11n9usuario9;D;1;143.249.988.556;1408;rand;s11n9;DDD;DD;D;D
85;s11n9usuario10;D;s11n9usuario9;D;1;225.829.982.758;2231;rand;s11n9;DDD;DD;D;D
86;s11n9usuario10;D;s11n9usuario1;D;1;143.920.016.289;1412;rand;s11n9;DDD;DD;D;D
87;s11n9usuario10;D;s11n9usuario2;C;4;258.470.010.757;2563;rand;s11n9;DDD;DD;D;D
88;s11n9usuario10;D;s11n9usuario1;D;1;147.530.007.362;1445;rand;s11n9;DCD;DC;D;C
89;s11n9usuario10;D;s11n9usuario9;D;1;112.849.998.474;1105;rand;s11n9;DDD;DD;D;D
90;s11n9usuario10;D;s11n9usuario6;D;1;11.631.000.042;1120;rand;s11n9;DDD;DD;D;D
91;s11n9usuario10;D;s11n9usuario2;C;4;952.100.038.528;927;rand;s11n9;DDD;DD;D;D
92;s11n9usuario10;D;s11n9usuario4;D;1;117.140.007.019;1143;rand;s11n9;DCD;DC;D;C
93;s11n9usuario10;D;s11n9usuario4;D;1;930.399.894.714;904;rand;s11n9;DDD;DD;D;D
94;s11n9usuario10;D;s11n9usuario3;C;4;10.188.999.176;1000;rand;s11n9;DDD;DD;D;D
95;s11n9usuario10;D;s11n9usuario8;C;4;114.210.009.575;1116;rand;s11n9;DCD;DC;D;C
96;s11n9usuario10;D;s11n9usuario9;D;1;152.600.002.289;1500;rand;s11n9;DCD;DC;D;C
97;s11n9usuario10;D;s11n9usuario3;D;1;130.949.997.902;1283;rand;s11n9;DDD;DD;D;D
98;s11n9usuario10;D;s11n9usuario4;D;1;144.969.987.869;1421;rand;s11n9;DDD;DD;D;D
99;s11n9usuario10;D;s11n9usuario4;D;1;8.834.998.607.639.990;860;rand;s11n9;DDD;DD;D;D
100;s11n9usuario10;D;s11n9usuario5;D;1;783.399.820.328;763;rand;s11n9;DDD;DD;D;D
1;s11n9usuario2;C;s11n9usuario4;D;0;534.700.012.207;5290;rand;s11n9;--;--;;
2;s11n9usuario2;C;s11n9usuario9;D;0;589.569.997.787;5866;rand;s11n9;CDC;CD;C;D
3;s11n9usuario2;D;s11n9usuario10;D;1;365.950.012.207;3629;rand;s11n9;CDD;CD;C;D
4;s11n9usuario2;D;s11n9usuario3;C;4;22.093.000.412;2182;rand;s11n9;DDD;DD;D;D
5;s11n9usuario2;D;s11n9usuario10;C;4;418.929.982.185;4160;rand;s11n9;DCD;DC;D;C
6;s11n9usuario2;D;s11n9usuario4;D;1;188.630.008.698;1857;rand;s11n9;DCD;DC;D;C
7;s11n9usuario2;D;s11n9usuario6;D;1;221.099.996.567;2183;rand;s11n9;DDD;DD;D;D
8;s11n9usuario2;C;s11n9usuario4;C;3;202.760.004.997;2002;rand;s11n9;DDC;DD;D;D
9;s11n9usuario2;C;s11n9usuario7;D;0;202.519.989.014;1998;rand;s11n9;CCC;CC;C;C
10;s11n9usuario2;C;s11n9usuario5;D;0;272.150.015.831;2694;rand;s11n9;CDC;CD;C;D
11;s11n9usuario2;D;s11n9usuario9;C;4;168.079.996.109;1652;rand;s11n9;CDD;CD;C;D
12;s11n9usuario2;D;s11n9usuario7;D;1;327.740.001.678;3250;rand;s11n9;DCD;DC;D;C
13;s11n9usuario2;D;s11n9usuario8;D;1;180.739.998.817;1777;rand;s11n9;DDD;DD;D;D
14;s11n9usuario2;C;s11n9usuario1;D;0;236.080.002.785;2333;rand;s11n9;DDC;DD;D;D
15;s11n9usuario2;D;s11n9usuario3;D;1;240.720.009.804;2380;rand;s11n9;CDD;CD;C;D
16;s11n9usuario2;D;s11n9usuario7;D;1;195.749.998.093;1931;rand;s11n9;DDD;DD;D;D
17;s11n9usuario2;D;s11n9usuario10;C;4;114.989.995.956;1124;rand;s11n9;DDD;DD;D;D
18;s11n9usuario2;D;s11n9usuario7;C;4;180.529.999.733;1781;rand;s11n9;DCD;DC;D;C
19;s11n9usuario2;D;s11n9usuario1;D;1;212.160.015.106;2096;rand;s11n9;DCD;DC;D;C
20;s11n9usuario2;D;s11n9usuario8;D;1;226.699.995.995;2242;rand;s11n9;DDD;DD;D;D
21;s11n9usuario2;D;s11n9usuario3;C;4;193.559.980.392;1906;rand;s11n9;DDD;DD;D;D
22;s11n9usuario2;D;s11n9usuario1;D;1;169.789.981.842;1672;rand;s11n9;DCD;DC;D;C
23;s11n9usuario2;D;s11n9usuario9;D;1;135.409.998.894;1335;rand;s11n9;DDD;DD;D;D
24;s11n9usuario2;D;s11n9usuario9;D;1;171.740.007.401;1690;rand;s11n9;DDD;DD;D;D
25;s11n9usuario2;D;s11n9usuario6;D;1;101.719.999.313;992;rand;s11n9;DDD;DD;D;D
26;s11n9usuario2;D;s11n9usuario7;D;1;8.394.999.504.089.990;814;rand;s11n9;DDD;DD;D;D
27;s11n9usuario2;C;s11n9usuario6;D;0;146.550.011.635;1429;rand;s11n9;DDC;DD;D;D
28;s11n9usuario2;C;s11n9usuario9;D;0;218.849.992.752;2161;rand;s11n9;CDC;CD;C;D
29;s11n9usuario2;C;s11n9usuario5;D;0;282.559.990.883;2750;rand;s11n9;CDC;CD;C;D
