round;player;action_player;opponent;action_opponent;payoff;time_php;time_js;treatment;session;player_id;context;prev;prev_player;prev_opp
38;s10n5usuario2;D;s10n5usuario8;C;4;256.529.998.779;2537;fix;s10n5;85;CDD;CD;C;D
39;s10n5usuario2;D;s10n5usuario8;D;1;251.209.998.131;2454;fix;s10n5;85;DCD;DC;D;C
40;s10n5usuario2;D;s10n5usuario8;D;1;286.339.998.245;2836;fix;s10n5;85;DDD;DD;D;D
41;s10n5usuario2;D;s10n5usuario8;C;4;266.209.983.826;2636;fix;s10n5;85;DDD;DD;D;D
42;s10n5usuario2;D;s10n5usuario8;C;4;264.299.988.747;2616;fix;s10n5;85;DCD;DC;D;C
43;s10n5usuario2;D;s10n5usuario8;C;4;273.269.987.106;2706;fix;s10n5;85;DCD;DC;D;C
44;s10n5usuario2;D;s10n5usuario8;C;4;223.959.994.316;2211;fix;s10n5;85;DCD;DC;D;C
45;s10n5usuario2;C;s10n5usuario8;C;3;339.019.989.967;3365;fix;s10n5;85;DCC;DC;D;C
46;s10n5usuario2;C;s10n5usuario8;C;3;185.109.996.796;1823;fix;s10n5;85;CCC;CC;C;C
47;s10n5usuario2;C;s10n5usuario8;C;3;212.590.003.014;2096;fix;s10n5;85;CCC;CC;C;C
48;s10n5usuario2;D;s10n5usuario8;C;4;196.930.003.166;1944;fix;s10n5;85;CCD;CC;C;C
49;s10n5usuario2;D;s10n5usuario8;C;4;337.929.987.907;3355;fix;s10n5;85;DCD;DC;D;C
50;s10n5usuario2;D;s10n5usuario8;D;1;36.412.999.630.000.000;3618;fix;s10n5;85;DCD;DC;D;C
51;s10n5usuario2;D;s10n5usuario8;C;4;332.139.992.714;3288;fix;s10n5;85;DDD;DD;D;D
52;s10n5usuario2;D;s10n5usuario8;C;4;367.779.994.011;3649;fix;s10n5;85;DCD;DC;D;C
53;s10n5usuario2;D;s10n5usuario8;D;1;292.630.004.883;2898;fix;s10n5;85;DCD;DC;D;C
54;s10n5usuario2;D;s10n5usuario8;C;4;183.820.009.232;1818;fix;s10n5;85;DDD;DD;D;D
55;s10n5usuario2;D;s10n5usuario8;C;4;225.470.018.387;2227;fix;s10n5;85;DCD;DC;D;C
56;s10n5usuario2;D;s10n5usuario8;D;1;357.300.019.264;3547;fix;s10n5;85;DCD;DC;D;C
57;s10n5usuario2;C;s10n5usuario8;D;0;338.800.001.144;3359;fix;s10n5;85;DDC;DD;D;D
58;s10n5usuario2;D;s10n5usuario8;D;1;186.450.004.578;1836;fix;s10n5;85;CDD;CD;C;D
59;s10n5usuario2;D;s10n5usuario8;D;1;198.420.000.076;1958;fix;s10n5;85;DDD;DD;D;D
60;s10n5usuario2;C;s10n5usuario8;C;3;180.460.000.038;1778;fix;s10n5;85;DDC;DD;D;D
61;s10n5usuario2;C;s10n5usuario8;C;3;236.260.008.812;2337;fix;s10n5;85;CCC;CC;C;C
62;s10n5usuario2;D;s10n5usuario8;C;4;336.570.000.648;3346;fix;s10n5;85;CCD;CC;C;C
63;s10n5usuario2;D;s10n5usuario8;C;4;218.260.002.136;2156;fix;s10n5;85;DCD;DC;D;C
64;s10n5usuario2;D;s10n5usuario8;D;1;154.739.999.771;1523;fix;s10n5;85;DCD;DC;D;C
65;s10n5usuario2;D;s10n5usuario8;C;4;302.219.986.916;2992;fix;s10n5;85;DDD;DD;D;D
66;s10n5usuario2;D;s10n5usuario8;D;1;309.770.011.902;3071;fix;s10n5;85;DCD;DC;D;C
67;s10n5usuario2;C;s10n5usuario8;D;0;154.889.988.899;1521;fix;s10n5;85;DDC;DD;D;D
68;s10n5usuario2;C;s10n5usuario8;D;0;171.130.013.466;1687;fix;s10n5;85;CDC;CD;C;D
69;s10n5usuario2;D;s10n5usuario8;D;1;127.699.995.041;1250;fix;s10n5;85;CDD;CD;C;D
70;s10n5usuario2;D;s10n5usuario8;C;4;110.430.002.213;1077;fix;s10n5;85;DDD;DD;D;D
71;s10n5usuario2;D;s10n5usuario8;C;4;970.099.925.995;944;fix;s10n5;85;DCD;DC;D;C
72;s10n5usuario2;D;s10n5usuario8;C;4;13.029.999.733;1275;fix;s10n5;85;DCD;DC;D;C
73;s10n5usuario2;C;s10n5usuario8;C;3;152.400.016.785;1498;fix;s10n5;85;DCC;DC;D;C
74;s10n5usuario2;C;s10n5usuario8;C;3;31.615.998.745;3133;fix;s10n5;85;CCC;CC;C;C
75;s10n5usuario2;D;s10n5usuario8;C;4;135.650.014.877;1331;fix;s10n5;85;CCD;CC;C;C
76;s10n5usuario2;D;s10n5usuario8;C;4;230.670.022.964;2274;fix;s10n5;85;DCD;DC;D;C
77;s10n5usuario2;C;s10n5usuario8;C;3;276.530.003.548;2735;fix;s10n5;85;DCC;DC;D;C
78;s10n5usuario2;C;s10n5usuario8;C;3;192.890.000.343;1906;fix;s10n5;85;CCC;CC;C;C
79;s10n5usuario2;C;s10n5usuario8;C;3;612.409.996.986;6062;fix;s10n5;85;CCC;CC;C;C
80;s10n5usuario2;C;s10n5usuario8;C;3;37.648.999.691;3717;fix;s10n5;85;CCC;CC;C;C
81;s10n5usuario2;C;s10n5usuario8;C;3;174.670.004.845;1717;fix;s10n5;85;CCC;CC;C;C
82;s10n5usuario2;C;s10n5usuario8;C;3;209.969.997.406;2072;fix;s10n5;85;CCC;CC;C;C
83;s10n5usuario2;D;s10n5usuario8;C;4;29.525.001.049;2924;fix;s10n5;85;CCD;CC;C;C
84;s10n5usuario2;D;s10n5usuario8;C;4;245.849.990.845;2430;fix;s10n5;85;DCD;DC;D;C
85;s10n5usuario2;D;s10n5usuario8;D;1;155.320.000.648;1527;fix;s10n5;85;DCD;DC;D;C
86;s10n5usuario2;D;s10n5usuario8;C;4;210.729.980.469;2076;fix;s10n5;85;DDD;DD;D;D
87;s10n5usuario2;D;s10n5usuario8;C;4;146.920.013.428;1445;fix;s10n5;85;DCD;DC;D;C
88;s10n5usuario2;D;s10n5usuario8;D;1;119.250.011.444;1164;fix;s10n5;85;DCD;DC;D;C
89;s10n5usuario2;C;s10n5usuario8;D;0;192.490.005.493;1896;fix;s10n5;85;DDC;DD;D;D
90;s10n5usuario2;D;s10n5usuario8;D;1;110.749.983.788;1083;fix;s10n5;85;CDD;CD;C;D
91;s10n5usuario2;D;s10n5usuario8;C;4;120.609.998.703;1176;fix;s10n5;85;DDD;DD;D;D
92;s10n5usuario2;D;s10n5usuario8;C;4;208.089.995.384;2054;fix;s10n5;85;DCD;DC;D;C
93;s10n5usuario2;D;s10n5usuario8;C;4;224.029.994.011;2215;fix;s10n5;85;DCD;DC;D;C
94;s10n5usuario2;C;s10n5usuario8;D;0;223.250.007.629;2207;fix;s10n5;85;DCC;DC;D;C
95;s10n5usuario2;D;s10n5usuario8;D;1;161.859.989.166;1592;fix;s10n5;85;CDD;CD;C;D
96;s10n5usuario2;D;s10n5usuario8;D;1;838.199.853.897;810;fix;s10n5;85;DDD;DD;D;D
97;s10n5usuario2;D;s10n5usuario8;D;1;926.399.946.213;909;fix;s10n5;85;DDD;DD;D;D
98;s10n5usuario2;C;s10n5usuario8;D;0;180.360.007.286;1774;fix;s10n5;85;DDC;DD;D;D
99;s10n5usuario2;D;s10n5usuario8;C;4;101.160.001.755;996;fix;s10n5;85;CDD;CD;C;D
100;s10n5usuario2;D;s10n5usuario8;C;4;806.200.027.466;776;fix;s10n5;85;DCD;DC;D;C
1;s10n5usuario3;C;s10n5usuario4;D;0;13.337.300.062.200.000;13304;fix;s10n5;86;--;--;;
2;s10n5usuario3;D;s10n5usuario4;C;4;354.139.995.575;3512;fix;s10n5;86;CDD;CD;C;D
3;s10n5usuario3;C;s10n5usuario4;C;3;451.909.995.079;4494;fix;s10n5;86;DCC;DC;D;C
4;s10n5usuario3;C;s10n5usuario4;D;0;296.160.006.523;2933;fix;s10n5;86;CCC;CC;C;C
5;s10n5usuario3;D;s10n5usuario4;D;1;227.699.995.041;2250;fix;s10n5;86;CDD;CD;C;D
6;s10n5usuario3;D;s10n5usuario4;C;4;272.990.012.169;2702;fix;s10n5;86;DDD;DD;D;D
7;s10n5usuario3;C;s10n5usuario4;C;3;308.890.008.926;3063;fix;s10n5;86;DCC;DC;D;C
8;s10n5usuario3;C;s10n5usuario4;C;3;19.103.000.164;1883;fix;s10n5;86;CCC;CC;C;C
9;s10n5usuario3;C;s10n5usuario4;C;3;194.309.997.559;1919;fix;s10n5;86;CCC;CC;C;C
10;s10n5usuario3;C;s10n5usuario4;C;3;142.279.982.567;1398;fix;s10n5;86;CCC;CC;C;C
11;s10n5usuario3;C;s10n5usuario4;C;3;139.550.018.311;1369;fix;s10n5;86;CCC;CC;C;C
12;s10n5usuario3;C;s10n5usuario4;C;3;155.760.002.136;1531;fix;s10n5;86;CCC;CC;C;C
13;s10n5usuario3;C;s10n5usuario4;C;3;258.669.996.262;2558;fix;s10n5;86;CCC;CC;C;C
14;s10n5usuario3;C;s10n5usuario4;C;3;12.610.001.564.000.000;1235;fix;s10n5;86;CCC;CC;C;C
15;s10n5usuario3;C;s10n5usuario4;C;3;130.369.997.025;1276;fix;s10n5;86;CCC;CC;C;C
